t [ms] 	      u [m/s]
11869.91 	 0.33839700
11874.47 	 0.34227500
11874.87 	 0.34641400
11880.04 	 0.34187700
11882.24 	 0.33522400
11887.28 	 0.35564100
11906.84 	 0.34878900
11919.09 	 0.35194700
11929.07 	 0.35856800
11945.89 	 0.36428600
11960.43 	 0.34319500
11966.36 	 0.35726600
11970.67 	 0.34823800
11975.28 	 0.34498800
11996.07 	 0.34181500
12011.85 	 0.34477400
12020.75 	 0.33911800
12021.42 	 0.35033700
12025.15 	 0.34130900
12037.42 	 0.34661300
12090.18 	 0.34943300
12115.63 	 0.34589200
12119.47 	 0.34714900
12130.01 	 0.34655200
12163.95 	 0.35064400
12184.17 	 0.34348600
12187.09 	 0.35435300
12190.88 	 0.35410800
12199.44 	 0.35234500
12200.09 	 0.34357800
12219.96 	 0.34596900
12225.42 	 0.34172300
12258.46 	 0.35515000
12268.32 	 0.36141900
12283.38 	 0.33988400
12313.93 	 0.33447300
12339.15 	 0.35797100
12360.08 	 0.35663700
12366.95 	 0.36195600
12386.56 	 0.35810900
12388.52 	 0.34284200
12397.81 	 0.35079700
12438.15 	 0.34868200
12438.97 	 0.34909600
12446.15 	 0.34805400
12453.54 	 0.35473600
12456.88 	 0.36215500
12462.51 	 0.34831400
12464.23 	 0.35055200
12483.29 	 0.36706000
12502.80 	 0.35222300
12506.70 	 0.35677500
12513.37 	 0.37000300
12533.33 	 0.35879800
12546.00 	 0.34590800
12551.62 	 0.35118000
12621.24 	 0.35349500
12649.46 	 0.35101200
12668.37 	 0.34337900
12726.52 	 0.35289700
12726.80 	 0.34951000
12734.77 	 0.34779300
12736.28 	 0.34414500
12742.35 	 0.35176300
12749.88 	 0.34951000
12752.90 	 0.35665200
12767.78 	 0.34101800
12771.72 	 0.34005300
12798.94 	 0.34921900
12819.23 	 0.35229900
12895.21 	 0.35338800
12897.00 	 0.34650600
12951.05 	 0.34880500
12951.93 	 0.33770800
12959.05 	 0.33809100
12962.23 	 0.34857500
12999.06 	 0.34745600
13015.29 	 0.33976100
13025.04 	 0.33433500
13052.91 	 0.33950100
13057.97 	 0.35023000
13074.46 	 0.34931000
13078.75 	 0.34828400
13082.25 	 0.34244400
13114.97 	 0.35610100
13123.08 	 0.35228400
13126.85 	 0.34221400
13130.98 	 0.34829900
13136.16 	 0.34272000
13137.02 	 0.34951000
13140.34 	 0.33977700
13141.23 	 0.34262800
13166.19 	 0.33381400
13166.99 	 0.33609800
13178.46 	 0.34298000
13190.01 	 0.34734900
13214.86 	 0.34390000
13241.50 	 0.35671400
13304.65 	 0.34951000
13308.16 	 0.34618400
13312.14 	 0.34213700
13314.15 	 0.36157300
13320.88 	 0.33997600
13343.05 	 0.34480400
13355.00 	 0.34399200
13375.01 	 0.34903500
13391.24 	 0.35087400
13403.05 	 0.34670500
13409.84 	 0.33047300
13417.72 	 0.33036600
13430.30 	 0.35078200
13430.60 	 0.34023700
13434.20 	 0.34888100
13440.39 	 0.34704200
13442.48 	 0.34586200
13443.25 	 0.35380100
13469.24 	 0.34688900
13493.14 	 0.33942400
13496.58 	 0.35032200
13504.61 	 0.35389300
13523.03 	 0.36588000
13526.87 	 0.36408600
13572.65 	 0.35821600
13577.03 	 0.35666800
13588.95 	 0.36436200
13610.67 	 0.36275300
13617.01 	 0.35732700
13637.23 	 0.35354100
13641.34 	 0.35401600
13644.81 	 0.34386900
13646.58 	 0.34288800
13668.07 	 0.34733300
13673.48 	 0.34186100
13696.44 	 0.35863000
13710.50 	 0.35015400
13723.63 	 0.35538000
13726.78 	 0.34514100
13749.55 	 0.34918800
13773.20 	 0.34135500
13773.99 	 0.34681200
13793.01 	 0.34932600
13798.19 	 0.34555500
13828.55 	 0.35390900
13863.04 	 0.36741200
13872.28 	 0.36424000
13894.69 	 0.36391800
13905.34 	 0.36089800
13912.71 	 0.36457700
13927.73 	 0.35096600
13957.86 	 0.34943300
13970.97 	 0.35349500
13977.22 	 0.36427000
13997.69 	 0.36371800
14009.25 	 0.36817900
14032.56 	 0.35383200
14054.35 	 0.34718000
14062.95 	 0.34149300
14064.78 	 0.33401400
14073.34 	 0.34757800
14126.07 	 0.34482000
14136.95 	 0.34921900
14146.48 	 0.35769500
